,number_of_rooms,number_of_bathrooms,sqft,days_on_market,initial_price,location_good,location_great,location_poor,neighborhood_alcatraz_ave,neighborhood_berkeley_hills,neighborhood_downtown,neighborhood_east_elmwood,neighborhood_frontage_rd,neighborhood_north_berkeley,neighborhood_northwest,neighborhood_south_side,neighborhood_thowsand_oaks,neighborhood_west_welmwood,neighborhood_westbrae,neighborhood_zaytuna_college,rental_price
794,1,1,435,49,1457,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1372.494
795,3,2,1050,8,4783,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4783.0
796,0,1,349,4,1687,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1687.0
797,1,1,479,6,1903,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1903.0
798,2,1,613,54,2672,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2490.304
799,1,1,353,54,1293,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1205.076
800,1,1,537,43,1595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1521.63
801,3,2,1175,33,4677,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4555.398
802,3,2,837,6,4594,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4594.0
803,0,1,434,17,1633,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1633.0
804,2,1,939,12,3437,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3437.0
805,3,2,1049,6,4831,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4831.0
806,0,1,451,60,1234,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1135.28
807,1,1,612,48,1668,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1574.592
808,1,1,558,6,1974,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1974.0
809,1,1,464,5,2366,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2366.0
810,1,1,610,38,1760,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1696.64
811,3,2,1209,6,5039,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5039.0
812,3,2,1027,44,4451,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4237.352
813,3,2,1030,7,5351,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5351.0
814,2,1,688,12,3154,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3154.0
815,1,1,303,14,1695,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1695.0
816,2,1,509,6,3054,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3054.0
817,0,1,538,10,1882,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1882.0
818,3,2,1072,12,4791,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4791.0
819,3,2,1229,19,4921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4921.0
820,1,1,630,11,2543,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2543.0
821,1,1,477,64,1371,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1250.3519999999999
822,2,1,762,7,3317,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3317.0
823,2,1,545,10,3587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3587.0
824,2,1,831,2,3439,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3439.0
825,3,2,916,7,4706,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4706.0
826,1,1,523,0,2527,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2527.0
827,1,1,741,10,2637,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2637.0
828,1,1,665,44,1750,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1666.0
829,2,1,891,3,3504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3504.0
830,3,2,923,38,4418,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4258.952
831,1,1,519,6,2453,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2453.0
832,3,2,1092,45,4470,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4246.5
833,2,1,702,46,2831,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2683.788
834,1,1,562,10,1917,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1917.0
835,0,1,513,55,1386,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1288.98
836,2,1,566,37,2755,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2661.33
837,3,2,991,3,5325,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5325.0
838,2,1,765,38,2952,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2845.728
839,3,2,1068,7,4889,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4889.0
840,2,1,601,5,3154,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3154.0
841,2,1,861,43,3040,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2900.16
842,1,1,477,4,1894,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1894.0
843,3,2,916,3,4716,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4716.0
844,3,2,1237,12,4938,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4938.0
845,2,1,748,30,3078,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3016.44
846,0,1,542,3,2377,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2377.0
847,1,1,685,0,2155,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2155.0
848,0,1,527,8,2387,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2387.0
849,0,1,415,8,1753,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1753.0
850,3,2,1191,0,5558,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5558.0
851,2,1,722,9,3734,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3734.0
852,2,1,601,0,3153,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3153.0
853,3,2,859,16,4525,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4525.0
854,3,2,1131,6,4957,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4957.0
855,2,1,898,7,3389,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3389.0
856,0,1,272,9,1631,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1631.0
857,0,1,325,51,1220,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1144.36
858,3,2,945,63,4131,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3775.7340000000004
859,1,1,443,6,2401,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2401.0
860,3,2,837,27,4428,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4366.008
861,0,1,146,6,1463,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1463.0
862,2,1,577,58,2595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2397.78
863,2,1,501,9,3054,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3054.0
864,0,1,477,44,1467,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1396.5839999999998
865,3,2,1214,3,5062,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5062.0
866,1,1,653,14,1999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1999.0
867,3,2,962,3,4830,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4830.0
868,2,1,672,6,3202,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3202.0
869,0,1,234,12,1492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1492.0
870,0,1,519,10,1781,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1781.0
871,0,1,131,37,1111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1073.226
872,2,1,556,52,2627,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2458.8720000000003
873,0,1,217,11,1516,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1516.0
874,1,1,706,10,2135,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2135.0
875,0,1,122,13,1897,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1897.0
876,1,1,471,8,1852,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1852.0
877,2,1,777,4,3358,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3358.0
878,0,1,315,5,1654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1654.0
879,1,1,565,11,1980,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1980.0
880,1,1,694,0,2165,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2165.0
881,3,2,1170,11,4900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4900.0
882,3,2,919,9,5192,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5192.0
883,1,1,747,12,2654,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2654.0
884,0,1,197,7,1576,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1576.0
885,2,1,703,0,3336,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3336.0
886,1,1,307,55,1237,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1150.41
887,3,2,1077,20,4722,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4722.0
888,2,1,818,3,3359,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3359.0
889,2,1,881,11,3337,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3337.0
890,1,1,660,8,2092,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2092.0
891,3,2,953,10,4682,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4682.0
892,1,1,572,13,2403,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2403.0
893,1,1,400,11,1789,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1789.0
894,3,2,1000,8,4787,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4787.0
895,1,1,481,4,1986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1986.0
896,0,1,111,29,1203,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1181.346
897,3,2,830,3,4664,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4664.0
898,1,1,372,15,1723,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1723.0
899,3,2,979,6,5257,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5257.0
900,0,1,101,5,1483,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1483.0
901,3,2,869,2,5152,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5152.0
902,0,1,148,4,1537,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1537.0
903,1,1,453,8,2397,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2397.0
904,1,1,729,14,2120,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2120.0
905,0,1,289,54,1157,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1078.3239999999998
906,3,2,956,5,4746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4746.0
907,2,1,555,51,2632,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2468.8160000000003
908,3,2,1241,3,5020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5020.0
909,0,1,541,14,1833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1833.0
910,0,1,371,13,1639,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1639.0
911,3,2,1109,9,4906,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4906.0
912,0,1,547,2,1936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1936.0
913,2,1,716,8,3283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3283.0
914,3,2,1124,13,4817,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4817.0
915,2,1,638,1,3237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3237.0
916,3,2,1123,9,4870,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4870.0
917,0,1,378,10,2200,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2200.0
918,0,1,126,11,1428,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1428.0
919,2,1,553,14,3485,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3485.0
920,0,1,430,8,2248,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2248.0
921,0,1,134,4,1490,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1490.0
922,0,1,119,5,1440,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1440.0
923,2,1,875,11,3322,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3322.0
924,2,1,763,2,3339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3339.0
925,3,2,954,22,4632,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4613.472
926,1,1,623,14,2476,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2476.0
927,1,1,482,61,1327,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1218.1860000000001
928,2,1,774,59,2778,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2561.3160000000003
929,3,2,1240,14,5497,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5497.0
930,1,1,453,56,1345,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1248.16
931,3,2,977,9,5281,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5281.0
932,1,1,430,0,1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1928.0
933,1,1,394,35,1534,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1487.98
934,1,1,485,39,1613,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1551.7060000000001
935,2,1,506,12,3017,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3017.0
936,1,1,522,12,2420,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2420.0
937,2,1,539,2,3594,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3594.0
938,1,1,471,53,1450,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1354.3
939,2,1,666,7,3237,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3237.0
940,0,1,507,3,2426,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2426.0
941,3,2,1189,10,4899,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4899.0
942,2,1,661,54,2732,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2546.224
943,3,2,1024,1,4904,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4904.0
944,1,1,429,8,1866,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1866.0
945,2,1,701,0,3846,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3846.0
946,1,1,483,8,2417,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2417.0
947,1,1,603,44,1712,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1629.8239999999998
948,2,1,901,6,3977,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3977.0
949,2,1,501,11,2952,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2952.0
950,3,2,1220,11,5459,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5459.0
951,2,1,846,48,2929,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2764.9759999999997
952,0,1,549,0,1940,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1940.0
953,2,1,688,8,3246,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3246.0
954,0,1,505,2,1863,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1863.0
955,0,1,469,5,2350,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2350.0
956,1,1,410,9,1800,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1800.0
957,1,1,513,52,1540,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1441.44
958,2,1,537,14,2997,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2997.0
959,3,2,813,13,5004,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5004.0
960,0,1,146,14,1387,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1387.0
961,0,1,289,22,1430,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1424.28
962,3,2,865,0,5248,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5248.0
963,0,1,352,11,2174,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2174.0
964,3,2,823,10,4545,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4545.0
965,1,1,705,36,1873,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1813.0639999999999
966,3,2,1165,3,5491,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5491.0
967,3,2,1164,6,4945,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4945.0
968,1,1,639,8,2576,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2576.0
969,3,2,840,58,4096,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3784.704
970,3,2,900,59,4155,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3830.91
971,1,1,647,12,2041,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2041.0
972,2,1,772,12,3281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3281.0
973,0,1,508,49,1393,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1312.2060000000001
974,2,1,510,6,3053,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3053.0
975,0,1,459,37,1464,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1414.224
976,0,1,489,4,2324,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2324.0
977,2,1,884,9,3855,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3855.0
978,0,1,372,1,2268,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2268.0
979,1,1,339,8,2210,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2210.0
980,1,1,397,13,1798,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1798.0
981,1,1,649,1,2592,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2592.0
982,0,1,459,61,1298,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1191.5639999999999
983,3,2,1123,20,4727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4727.0
984,1,1,618,16,1954,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1954.0
985,1,1,428,13,1796,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1796.0
986,3,2,883,6,4685,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4685.0
987,2,1,781,14,3197,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3197.0
988,1,1,449,51,1472,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1380.736
989,3,2,1055,0,4933,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4933.0
990,0,1,181,11,1964,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1964.0
991,0,1,467,2,1879,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1879.0
992,2,1,712,1,3282,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3282.0
993,3,2,801,22,4462,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4444.152
994,2,1,558,3,3118,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3118.0
995,1,1,520,29,1764,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1732.2479999999998
996,1,1,521,1,2004,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004.0
997,1,1,537,8,1988,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1988.0
998,3,2,1034,12,5259,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5259.0
999,1,1,562,1,2024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024.0
1000,3,2,1182,11,4944,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4944.0
1001,3,2,1181,7,4930,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4930.0
1002,1,1,372,64,1261,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1150.032
1003,0,1,399,5,2253,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2253.0
1004,1,1,307,0,1856,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1856.0
1005,1,1,711,13,2033,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2033.0
1006,2,1,884,4,3430,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3430.0
1007,3,2,995,12,4682,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4682.0
1008,3,2,971,10,4705,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4705.0
1009,2,1,594,9,3139,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3139.0
1010,3,2,895,12,4638,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4638.0
1011,0,1,278,0,1661,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1661.0
1012,2,1,538,10,2988,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2988.0
1013,2,1,810,10,3331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3331.0
1014,2,1,723,6,3240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3240.0
1015,2,1,856,4,3881,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3881.0
1016,1,1,432,1,1910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1910.0
1017,2,1,879,10,3923,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3923.0
1018,2,1,584,12,3042,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3042.0
1019,1,1,487,12,1854,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1854.0
1020,0,1,351,4,2251,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2251.0
1021,1,1,547,12,1953,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1953.0
1022,2,1,939,36,3162,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3060.816
1023,3,2,1178,53,4479,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4183.3859999999995
1024,1,1,664,10,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024.0
1025,1,1,513,11,1924,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1924.0
1026,0,1,381,28,1483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1459.2720000000002
1027,0,1,251,10,2056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2056.0
1028,0,1,190,11,1483,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1483.0
1029,0,1,286,55,1091,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1014.63
1030,2,1,580,2,3692,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3692.0
1031,1,1,406,55,1397,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1299.21
1032,2,1,851,4,3414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3414.0
1033,3,2,1108,13,5284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5284.0
1034,1,1,392,12,1758,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1758.0
1035,3,2,975,6,5271,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5271.0
1036,0,1,187,13,1920,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1920.0
1037,3,2,1112,29,4693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4608.526
1038,1,1,465,15,1787,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1787.0
1039,0,1,147,10,1927,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1927.0
1040,3,2,1042,2,4860,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4860.0
1041,0,1,542,3,1951,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1951.0
1042,3,2,1105,5,5374,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5374.0
1043,0,1,313,8,1617,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1617.0
1044,2,1,931,5,3524,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3524.0
1045,1,1,478,5,2434,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2434.0
1046,2,1,740,40,2931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2813.76
1047,0,1,145,6,1442,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1442.0
1048,2,1,921,53,3026,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2826.284
1049,2,1,618,12,3642,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3642.0
1050,1,1,472,12,1896,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1896.0
1051,2,1,539,9,3029,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3029.0
1052,3,2,838,25,4412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4367.88
1053,3,2,968,14,4679,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4679.0
1054,0,1,380,2,1800,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1800.0
1055,1,1,560,9,1930,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1930.0
1056,1,1,340,3,2307,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2307.0
1057,1,1,407,12,1797,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1797.0
1058,2,1,758,24,3120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3095.04
1059,1,1,522,11,2368,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2368.0
1060,0,1,440,9,2293,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2293.0
1061,0,1,241,3,2116,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2116.0
1062,0,1,343,4,2199,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2199.0
1063,1,1,335,24,1635,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1621.92
1064,2,1,778,34,3057,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2971.4040000000005
1065,0,1,167,1,1517,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1517.0
1066,1,1,318,11,1671,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1671.0
1067,2,1,742,8,3288,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3288.0
1068,0,1,193,40,1165,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1118.4
1069,0,1,388,36,1380,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1335.84
1070,0,1,443,8,1759,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1759.0
1071,2,1,517,17,2916,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2916.0
1072,2,1,936,53,3020,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2820.68
1073,1,1,743,13,2128,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2128.0
1074,2,1,757,9,3271,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3271.0
1075,3,2,1056,20,4663,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4663.0
1076,0,1,456,33,1564,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1523.336
